TargetID	ProbeID	MIN_Signal-9257622034_A	AVG_Signal-9257622034_A	MAX_Signal-9257622034_A	NARRAYS-9257622034_A	ARRAY_STDEV-9257622034_A	BEAD_STDEV-9257622034_A	Avg_NBEADS-9257622034_A	Detection-9257622034_A	MIN_Signal-9257622034_B	AVG_Signal-9257622034_B	MAX_Signal-9257622034_B	NARRAYS-9257622034_B	ARRAY_STDEV-9257622034_B	BEAD_STDEV-9257622034_B	Avg_NBEADS-9257622034_B	Detection-9257622034_B	MIN_Signal-9257622034_C	AVG_Signal-9257622034_C	MAX_Signal-9257622034_C	NARRAYS-9257622034_C	ARRAY_STDEV-9257622034_C	BEAD_STDEV-9257622034_C	Avg_NBEADS-9257622034_C	Detection-9257622034_C	MIN_Signal-9257622034_D	AVG_Signal-9257622034_D	MAX_Signal-9257622034_D	NARRAYS-9257622034_D	ARRAY_STDEV-9257622034_D	BEAD_STDEV-9257622034_D	Avg_NBEADS-9257622034_D	Detection-9257622034_D	MIN_Signal-9257622034_E	AVG_Signal-9257622034_E	MAX_Signal-9257622034_E	NARRAYS-9257622034_E	ARRAY_STDEV-9257622034_E	BEAD_STDEV-9257622034_E	Avg_NBEADS-9257622034_E	Detection-9257622034_E	MIN_Signal-9257622034_F	AVG_Signal-9257622034_F	MAX_Signal-9257622034_F	NARRAYS-9257622034_F	ARRAY_STDEV-9257622034_F	BEAD_STDEV-9257622034_F	Avg_NBEADS-9257622034_F	Detection-9257622034_F	MIN_Signal-9257622034_G	AVG_Signal-9257622034_G	MAX_Signal-9257622034_G	NARRAYS-9257622034_G	ARRAY_STDEV-9257622034_G	BEAD_STDEV-9257622034_G	Avg_NBEADS-9257622034_G	Detection-9257622034_G	MIN_Signal-9257622034_H	AVG_Signal-9257622034_H	MAX_Signal-9257622034_H	NARRAYS-9257622034_H	ARRAY_STDEV-9257622034_H	BEAD_STDEV-9257622034_H	Avg_NBEADS-9257622034_H	Detection-9257622034_H	MIN_Signal-9257622034_I	AVG_Signal-9257622034_I	MAX_Signal-9257622034_I	NARRAYS-9257622034_I	ARRAY_STDEV-9257622034_I	BEAD_STDEV-9257622034_I	Avg_NBEADS-9257622034_I	Detection-9257622034_I	MIN_Signal-9257622034_J	AVG_Signal-9257622034_J	MAX_Signal-9257622034_J	NARRAYS-9257622034_J	ARRAY_STDEV-9257622034_J	BEAD_STDEV-9257622034_J	Avg_NBEADS-9257622034_J	Detection-9257622034_J	MIN_Signal-9257622034_K	AVG_Signal-9257622034_K	MAX_Signal-9257622034_K	NARRAYS-9257622034_K	ARRAY_STDEV-9257622034_K	BEAD_STDEV-9257622034_K	Avg_NBEADS-9257622034_K	Detection-9257622034_K	MIN_Signal-9257622034_L	AVG_Signal-9257622034_L	MAX_Signal-9257622034_L	NARRAYS-9257622034_L	ARRAY_STDEV-9257622034_L	BEAD_STDEV-9257622034_L	Avg_NBEADS-9257622034_L	Detection-9257622034_L
A2BP1	5220554	111.9	111.9	111.9	1	NaN	29.224	31	0.43636	109.9	109.9	109.9	1	NaN	31.744	23	0.47792	101.7	101.7	101.7	1	NaN	26.186	20	0.20519	117.4	117.4	117.4	1	NaN	30.289	27	0.58052	97.9	97.9	97.9	1	NaN	23.715	23	0.28312	103.8	103.8	103.8	1	NaN	29.222	37	0.52987	103.4	103.4	103.4	1	NaN	16.317	21	0.44675	88.5	88.5	88.5	1	NaN	27.772	28	0.17792	86.8	86.8	86.8	1	NaN	25.286	26	0.12338	103.2	103.2	103.2	1	NaN	27.413	27	0.53636	105.5	105.5	105.5	1	NaN	23.383	30	0.64805	92.8	92.8	92.8	1	NaN	24.488	23	0.27792	
A2BP1	5390438	86.6	86.6	86.6	1	NaN	28.485	15	0.03506	88.8	88.8	88.8	1	NaN	23.270	20	0.08052	91.4	91.4	91.4	1	NaN	24.605	22	0.07143	98.6	98.6	98.6	1	NaN	26.160	19	0.17662	76.2	76.2	76.2	1	NaN	16.819	21	0.01688	84.0	84.0	84.0	1	NaN	24.598	25	0.09870	86.1	86.1	86.1	1	NaN	21.686	18	0.09870	75.6	75.6	75.6	1	NaN	11.155	18	0.02857	90.9	90.9	90.9	1	NaN	25.110	18	0.19481	78.7	78.7	78.7	1	NaN	20.691	17	0.04416	73.0	73.0	73.0	1	NaN	22.636	21	0.01429	78.1	78.1	78.1	1	NaN	22.580	18	0.03506	
A2BP1	6420681	117.5	117.5	117.5	1	NaN	32.752	27	0.57403	107.5	107.5	107.5	1	NaN	39.217	21	0.42597	150.7	150.7	150.7	1	NaN	68.189	14	0.95974	123.4	123.4	123.4	1	NaN	33.899	28	0.71948	99.6	99.6	99.6	1	NaN	20.907	14	0.30909	103.9	103.9	103.9	1	NaN	24.976	24	0.52987	108.3	108.3	108.3	1	NaN	22.825	17	0.57922	112.4	112.4	112.4	1	NaN	37.780	25	0.75065	103.6	103.6	103.6	1	NaN	27.948	19	0.53377	116.8	116.8	116.8	1	NaN	30.949	23	0.83896	101.1	101.1	101.1	1	NaN	33.165	21	0.52468	105.5	105.5	105.5	1	NaN	19.198	26	0.63117	
A2LD1	4760377	168.4	168.4	168.4	1	NaN	51.704	31	0.99351	161.3	161.3	161.3	1	NaN	49.563	17	0.98831	228.1	228.1	228.1	1	NaN	65.924	22	0.99870	147.3	147.3	147.3	1	NaN	50.101	21	0.95195	203.9	203.9	203.9	1	NaN	57.998	32	0.99740	203.6	203.6	203.6	1	NaN	26.619	16	0.99870	180.7	180.7	180.7	1	NaN	42.004	16	0.99870	182.8	182.8	182.8	1	NaN	37.008	22	0.99740	187.2	187.2	187.2	1	NaN	31.916	25	0.99740	159.1	159.1	159.1	1	NaN	46.086	22	0.99091	154.4	154.4	154.4	1	NaN	47.740	30	0.99481	140.4	140.4	140.4	1	NaN	45.613	21	0.98701	
A2M	2370438	99.6	99.6	99.6	1	NaN	33.376	21	0.18831	83.9	83.9	83.9	1	NaN	30.735	21	0.04545	100.0	100.0	100.0	1	NaN	35.103	31	0.18182	88.6	88.6	88.6	1	NaN	26.346	21	0.05714	86.5	86.5	86.5	1	NaN	26.197	32	0.10130	93.9	93.9	93.9	1	NaN	24.010	33	0.25325	84.4	84.4	84.4	1	NaN	28.470	23	0.07273	88.9	88.9	88.9	1	NaN	25.417	19	0.18312	82.3	82.3	82.3	1	NaN	22.835	22	0.06104	78.4	78.4	78.4	1	NaN	23.864	24	0.04416	87.5	87.5	87.5	1	NaN	22.394	25	0.19481	91.4	91.4	91.4	1	NaN	34.704	18	0.24545	
A2ML1	4050154	165.5	165.5	165.5	1	NaN	39.619	16	0.99221	120.1	120.1	120.1	1	NaN	41.651	26	0.71299	117.8	117.8	117.8	1	NaN	36.430	14	0.52987	137.3	137.3	137.3	1	NaN	43.144	26	0.88701	99.6	99.6	99.6	1	NaN	19.592	19	0.30909	108.9	108.9	108.9	1	NaN	24.230	12	0.65844	113.8	113.8	113.8	1	NaN	35.131	20	0.71688	113.9	113.9	113.9	1	NaN	25.096	26	0.78831	116.2	116.2	116.2	1	NaN	31.787	18	0.79610	112.0	112.0	112.0	1	NaN	31.675	23	0.75065	114.2	114.2	114.2	1	NaN	33.980	23	0.82338	109.6	109.6	109.6	1	NaN	31.052	17	0.73377	
A3GALT2	1740066	108.8	108.8	108.8	1	NaN	30.876	28	0.35714	114.8	114.8	114.8	1	NaN	28.755	16	0.61558	110.1	110.1	110.1	1	NaN	32.549	20	0.35584	98.8	98.8	98.8	1	NaN	24.555	24	0.17922	120.8	120.8	120.8	1	NaN	52.925	20	0.82208	93.1	93.1	93.1	1	NaN	30.715	19	0.22857	102.3	102.3	102.3	1	NaN	25.492	15	0.42597	102.3	102.3	102.3	1	NaN	23.820	20	0.49221	95.2	95.2	95.2	1	NaN	22.153	21	0.29221	97.3	97.3	97.3	1	NaN	25.147	18	0.37792	92.6	92.6	92.6	1	NaN	24.384	20	0.30649	103.2	103.2	103.2	1	NaN	33.857	20	0.55584	
A3GALT2	4830092	116.7	116.7	116.7	1	NaN	37.199	13	0.55455	116.7	116.7	116.7	1	NaN	36.426	20	0.64805	125.4	125.4	125.4	1	NaN	33.501	11	0.69870	117.9	117.9	117.9	1	NaN	26.421	18	0.59221	91.0	91.0	91.0	1	NaN	25.874	18	0.15844	110.0	110.0	110.0	1	NaN	25.145	10	0.67662	91.9	91.9	91.9	1	NaN	15.004	11	0.18312	95.8	95.8	95.8	1	NaN	24.773	13	0.32597	110.3	110.3	110.3	1	NaN	40.208	14	0.69091	97.1	97.1	97.1	1	NaN	29.023	15	0.37143	89.2	89.2	89.2	1	NaN	24.874	24	0.23506	100.9	100.9	100.9	1	NaN	29.821	16	0.50390	
A4GALT	3610072	428.4	428.4	428.4	1	NaN	90.587	21	1.00000	284.9	284.9	284.9	1	NaN	58.172	14	0.99870	373.4	373.4	373.4	1	NaN	68.769	32	1.00000	345.5	345.5	345.5	1	NaN	87.819	21	1.00000	414.3	414.3	414.3	1	NaN	62.128	22	1.00000	362.3	362.3	362.3	1	NaN	71.657	22	1.00000	371.2	371.2	371.2	1	NaN	74.431	22	1.00000	301.0	301.0	301.0	1	NaN	65.955	27	1.00000	267.7	267.7	267.7	1	NaN	66.300	30	1.00000	259.7	259.7	259.7	1	NaN	69.046	18	1.00000	244.3	244.3	244.3	1	NaN	46.406	21	1.00000	256.3	256.3	256.3	1	NaN	57.514	23	0.99870	
A4GNT	6480136	157.4	157.4	157.4	1	NaN	50.741	24	0.97532	130.4	130.4	130.4	1	NaN	35.441	23	0.87403	158.7	158.7	158.7	1	NaN	49.787	25	0.97532	153.9	153.9	153.9	1	NaN	37.292	12	0.97792	143.2	143.2	143.2	1	NaN	52.834	21	0.97273	154.4	154.4	154.4	1	NaN	61.804	15	0.98961	133.3	133.3	133.3	1	NaN	35.433	17	0.94286	136.4	136.4	136.4	1	NaN	46.790	9	0.97403	123.8	123.8	123.8	1	NaN	38.586	17	0.90390	118.8	118.8	118.8	1	NaN	48.312	11	0.87013	137.5	137.5	137.5	1	NaN	56.404	24	0.98312	126.6	126.6	126.6	1	NaN	26.173	15	0.94545	
