TargetID	ProbeID	MIN_Signal-9257622034_A	AVG_Signal-9257622034_A	MAX_Signal-9257622034_A	NARRAYS-9257622034_A	ARRAY_STDEV-9257622034_A	BEAD_STDEV-9257622034_A	Avg_NBEADS-9257622034_A	Detection-9257622034_A	MIN_Signal-9257622034_B	AVG_Signal-9257622034_B	MAX_Signal-9257622034_B	NARRAYS-9257622034_B	ARRAY_STDEV-9257622034_B	BEAD_STDEV-9257622034_B	Avg_NBEADS-9257622034_B	Detection-9257622034_B	MIN_Signal-9257622034_C	AVG_Signal-9257622034_C	MAX_Signal-9257622034_C	NARRAYS-9257622034_C	ARRAY_STDEV-9257622034_C	BEAD_STDEV-9257622034_C	Avg_NBEADS-9257622034_C	Detection-9257622034_C	MIN_Signal-9257622034_D	AVG_Signal-9257622034_D	MAX_Signal-9257622034_D	NARRAYS-9257622034_D	ARRAY_STDEV-9257622034_D	BEAD_STDEV-9257622034_D	Avg_NBEADS-9257622034_D	Detection-9257622034_D	MIN_Signal-9257622034_E	AVG_Signal-9257622034_E	MAX_Signal-9257622034_E	NARRAYS-9257622034_E	ARRAY_STDEV-9257622034_E	BEAD_STDEV-9257622034_E	Avg_NBEADS-9257622034_E	Detection-9257622034_E	MIN_Signal-9257622034_F	AVG_Signal-9257622034_F	MAX_Signal-9257622034_F	NARRAYS-9257622034_F	ARRAY_STDEV-9257622034_F	BEAD_STDEV-9257622034_F	Avg_NBEADS-9257622034_F	Detection-9257622034_F	MIN_Signal-9257622034_G	AVG_Signal-9257622034_G	MAX_Signal-9257622034_G	NARRAYS-9257622034_G	ARRAY_STDEV-9257622034_G	BEAD_STDEV-9257622034_G	Avg_NBEADS-9257622034_G	Detection-9257622034_G	MIN_Signal-9257622034_H	AVG_Signal-9257622034_H	MAX_Signal-9257622034_H	NARRAYS-9257622034_H	ARRAY_STDEV-9257622034_H	BEAD_STDEV-9257622034_H	Avg_NBEADS-9257622034_H	Detection-9257622034_H	MIN_Signal-9257622034_I	AVG_Signal-9257622034_I	MAX_Signal-9257622034_I	NARRAYS-9257622034_I	ARRAY_STDEV-9257622034_I	BEAD_STDEV-9257622034_I	Avg_NBEADS-9257622034_I	Detection-9257622034_I	MIN_Signal-9257622034_J	AVG_Signal-9257622034_J	MAX_Signal-9257622034_J	NARRAYS-9257622034_J	ARRAY_STDEV-9257622034_J	BEAD_STDEV-9257622034_J	Avg_NBEADS-9257622034_J	Detection-9257622034_J	MIN_Signal-9257622034_K	AVG_Signal-9257622034_K	MAX_Signal-9257622034_K	NARRAYS-9257622034_K	ARRAY_STDEV-9257622034_K	BEAD_STDEV-9257622034_K	Avg_NBEADS-9257622034_K	Detection-9257622034_K	MIN_Signal-9257622034_L	AVG_Signal-9257622034_L	MAX_Signal-9257622034_L	NARRAYS-9257622034_L	ARRAY_STDEV-9257622034_L	BEAD_STDEV-9257622034_L	Avg_NBEADS-9257622034_L	Detection-9257622034_L
AAA1	2480367	110.4	110.4	110.4	1	NaN	36.365	20	0.39481	114.2	114.2	114.2	1	NaN	31.425	28	0.61039	108.2	108.2	108.2	1	NaN	24.086	21	0.30779	103.2	103.2	103.2	1	NaN	31.480	25	0.24675	113.9	113.9	113.9	1	NaN	36.831	21	0.68571	108.7	108.7	108.7	1	NaN	35.985	20	0.65584	108.4	108.4	108.4	1	NaN	18.234	13	0.58182	104.8	104.8	104.8	1	NaN	28.573	24	0.57273	97.4	97.4	97.4	1	NaN	36.627	14	0.35065	99.3	99.3	99.3	1	NaN	46.792	29	0.42987	101.5	101.5	101.5	1	NaN	35.866	27	0.53247	123.7	123.7	123.7	1	NaN	41.655	22	0.92857	
AAA1	2750273	141.1	141.1	141.1	1	NaN	44.601	23	0.91818	135.0	135.0	135.0	1	NaN	38.773	21	0.92338	142.1	142.1	142.1	1	NaN	45.276	24	0.91429	146.0	146.0	146.0	1	NaN	50.733	26	0.94286	132.5	132.5	132.5	1	NaN	26.241	20	0.92597	135.9	135.9	135.9	1	NaN	51.320	22	0.97403	133.1	133.1	133.1	1	NaN	48.332	13	0.94156	116.9	116.9	116.9	1	NaN	38.925	30	0.82468	109.1	109.1	109.1	1	NaN	29.515	18	0.67013	117.8	117.8	117.8	1	NaN	35.915	27	0.85974	118.5	118.5	118.5	1	NaN	37.122	28	0.88961	109.6	109.6	109.6	1	NaN	31.281	22	0.73377	
AAA1	4560202	139.2	139.2	139.2	1	NaN	49.044	26	0.90000	119.5	119.5	119.5	1	NaN	40.705	29	0.70130	123.7	123.7	123.7	1	NaN	49.703	22	0.66104	130.1	130.1	130.1	1	NaN	44.570	33	0.82468	97.8	97.8	97.8	1	NaN	25.635	21	0.28052	117.8	117.8	117.8	1	NaN	30.503	24	0.83506	112.7	112.7	112.7	1	NaN	32.354	27	0.68961	109.9	109.9	109.9	1	NaN	31.598	21	0.70779	114.0	114.0	114.0	1	NaN	34.240	24	0.76364	110.1	110.1	110.1	1	NaN	31.027	22	0.70909	109.7	109.7	109.7	1	NaN	27.847	25	0.74156	114.6	114.6	114.6	1	NaN	34.061	27	0.82468	
AAA1	5360113	98.1	98.1	98.1	1	NaN	36.722	20	0.16753	84.4	84.4	84.4	1	NaN	22.224	21	0.04805	91.4	91.4	91.4	1	NaN	27.410	25	0.07273	90.3	90.3	90.3	1	NaN	27.671	18	0.07013	85.9	85.9	85.9	1	NaN	25.806	29	0.09351	79.2	79.2	79.2	1	NaN	18.527	30	0.04026	76.0	76.0	76.0	1	NaN	23.730	24	0.01039	86.7	86.7	86.7	1	NaN	12.867	17	0.14675	83.2	83.2	83.2	1	NaN	31.205	24	0.07143	93.7	93.7	93.7	1	NaN	22.880	21	0.29091	87.9	87.9	87.9	1	NaN	20.433	18	0.20909	78.2	78.2	78.2	1	NaN	23.025	28	0.03636	
AAA1	6180500	90.8	90.8	90.8	1	NaN	25.992	24	0.08052	92.0	92.0	92.0	1	NaN	24.710	35	0.11688	98.9	98.9	98.9	1	NaN	31.280	23	0.17143	90.3	90.3	90.3	1	NaN	23.299	21	0.07013	88.6	88.6	88.6	1	NaN	23.939	25	0.13247	81.1	81.1	81.1	1	NaN	25.315	19	0.05195	101.0	101.0	101.0	1	NaN	27.766	31	0.38442	89.9	89.9	89.9	1	NaN	29.791	22	0.20649	93.5	93.5	93.5	1	NaN	28.911	26	0.25974	77.6	77.6	77.6	1	NaN	18.764	29	0.03506	89.5	89.5	89.5	1	NaN	25.852	21	0.24026	82.1	82.1	82.1	1	NaN	25.673	24	0.09221	
AAAS	60689	296.6	296.6	296.6	1	NaN	74.713	19	0.99870	373.3	373.3	373.3	1	NaN	83.599	23	1.00000	300.5	300.5	300.5	1	NaN	61.005	20	0.99870	259.1	259.1	259.1	1	NaN	48.577	24	1.00000	340.6	340.6	340.6	1	NaN	46.540	19	1.00000	275.6	275.6	275.6	1	NaN	62.830	28	0.99870	323.2	323.2	323.2	1	NaN	68.543	19	1.00000	296.8	296.8	296.8	1	NaN	58.567	21	1.00000	292.7	292.7	292.7	1	NaN	61.379	26	1.00000	250.3	250.3	250.3	1	NaN	50.108	23	0.99870	310.0	310.0	310.0	1	NaN	74.011	28	1.00000	314.7	314.7	314.7	1	NaN	77.943	19	1.00000	
AACS	1580504	624.2	624.2	624.2	1	NaN	83.163	27	1.00000	460.9	460.9	460.9	1	NaN	91.402	20	1.00000	440.1	440.1	440.1	1	NaN	65.010	17	1.00000	555.8	555.8	555.8	1	NaN	104.244	20	1.00000	499.6	499.6	499.6	1	NaN	96.209	21	1.00000	479.5	479.5	479.5	1	NaN	74.837	26	1.00000	379.5	379.5	379.5	1	NaN	72.197	16	1.00000	456.7	456.7	456.7	1	NaN	74.478	21	1.00000	468.7	468.7	468.7	1	NaN	97.318	18	1.00000	434.3	434.3	434.3	1	NaN	112.165	16	1.00000	443.3	443.3	443.3	1	NaN	73.864	19	1.00000	428.8	428.8	428.8	1	NaN	90.399	17	1.00000	
AACSL	4570132	157.6	157.6	157.6	1	NaN	27.121	20	0.97532	161.5	161.5	161.5	1	NaN	50.952	25	0.98831	155.6	155.6	155.6	1	NaN	55.024	28	0.96883	153.4	153.4	153.4	1	NaN	49.364	14	0.97403	124.3	124.3	124.3	1	NaN	31.721	12	0.85584	159.5	159.5	159.5	1	NaN	44.253	28	0.99351	139.6	139.6	139.6	1	NaN	41.232	21	0.97662	135.7	135.7	135.7	1	NaN	46.542	23	0.97013	160.9	160.9	160.9	1	NaN	58.575	17	0.99221	128.5	128.5	128.5	1	NaN	38.912	24	0.94805	136.8	136.8	136.8	1	NaN	35.282	18	0.98312	148.9	148.9	148.9	1	NaN	42.386	23	0.99221	
AADAC	6200619	126.6	126.6	126.6	1	NaN	37.575	17	0.74545	116.5	116.5	116.5	1	NaN	30.039	22	0.64416	133.4	133.4	133.4	1	NaN	37.801	20	0.83506	125.8	125.8	125.8	1	NaN	32.496	20	0.75584	111.8	111.8	111.8	1	NaN	26.042	22	0.62727	126.1	126.1	126.1	1	NaN	41.753	29	0.94156	113.0	113.0	113.0	1	NaN	39.891	19	0.70000	100.3	100.3	100.3	1	NaN	32.958	23	0.44156	124.0	124.0	124.0	1	NaN	41.749	27	0.90519	102.4	102.4	102.4	1	NaN	24.188	29	0.50909	113.0	113.0	113.0	1	NaN	34.320	19	0.80519	111.8	111.8	111.8	1	NaN	28.173	19	0.77013	
AADACL1	7210327	330.5	330.5	330.5	1	NaN	89.562	18	0.99870	273.9	273.9	273.9	1	NaN	98.326	23	0.99870	268.7	268.7	268.7	1	NaN	70.279	22	0.99870	296.2	296.2	296.2	1	NaN	63.186	24	1.00000	261.0	261.0	261.0	1	NaN	50.405	28	0.99870	223.9	223.9	223.9	1	NaN	53.504	21	0.99870	307.4	307.4	307.4	1	NaN	98.977	17	1.00000	253.2	253.2	253.2	1	NaN	52.662	18	1.00000	301.6	301.6	301.6	1	NaN	43.156	18	1.00000	293.6	293.6	293.6	1	NaN	90.549	19	1.00000	359.5	359.5	359.5	1	NaN	53.093	13	1.00000	280.8	280.8	280.8	1	NaN	88.209	16	1.00000	
AADACL1	7650020	329.2	329.2	329.2	1	NaN	107.234	17	0.99870	225.5	225.5	225.5	1	NaN	74.345	20	0.99740	245.7	245.7	245.7	1	NaN	57.921	28	0.99870	270.4	270.4	270.4	1	NaN	62.692	21	1.00000	237.3	237.3	237.3	1	NaN	78.247	20	0.99870	276.3	276.3	276.3	1	NaN	88.689	21	0.99870	200.2	200.2	200.2	1	NaN	62.553	29	0.99870	216.5	216.5	216.5	1	NaN	52.042	31	0.99870	242.4	242.4	242.4	1	NaN	55.763	27	0.99870	469.6	469.6	469.6	1	NaN	96.686	29	1.00000	475.7	475.7	475.7	1	NaN	96.155	28	1.00000	211.3	211.3	211.3	1	NaN	48.016	25	0.99740	
AADACL2	1780408	118.5	118.5	118.5	1	NaN	35.671	25	0.59091	107.8	107.8	107.8	1	NaN	36.661	24	0.43117	122.4	122.4	122.4	1	NaN	36.499	21	0.63377	122.6	122.6	122.6	1	NaN	53.490	20	0.70260	100.1	100.1	100.1	1	NaN	26.731	21	0.32338	105.0	105.0	105.0	1	NaN	24.511	30	0.56234	102.4	102.4	102.4	1	NaN	33.155	25	0.42727	96.2	96.2	96.2	1	NaN	22.766	20	0.33117	104.8	104.8	104.8	1	NaN	28.292	20	0.57143	89.4	89.4	89.4	1	NaN	34.138	23	0.19351	101.7	101.7	101.7	1	NaN	32.130	16	0.53636	104.7	104.7	104.7	1	NaN	26.573	33	0.61429	
AADACL3	6840400	103.1	103.1	103.1	1	NaN	33.269	20	0.23636	116.1	116.1	116.1	1	NaN	33.925	18	0.64026	116.6	116.6	116.6	1	NaN	37.213	18	0.51039	116.0	116.0	116.0	1	NaN	21.433	17	0.55195	83.2	83.2	83.2	1	NaN	18.246	21	0.05714	104.7	104.7	104.7	1	NaN	35.603	33	0.55455	91.8	91.8	91.8	1	NaN	22.902	21	0.18312	98.2	98.2	98.2	1	NaN	27.688	27	0.38571	82.7	82.7	82.7	1	NaN	20.058	17	0.06753	111.2	111.2	111.2	1	NaN	48.072	21	0.73247	90.3	90.3	90.3	1	NaN	34.463	21	0.25455	106.5	106.5	106.5	1	NaN	38.583	26	0.66623	
AADACL4	2600309	116.6	116.6	116.6	1	NaN	48.795	19	0.55325	121.4	121.4	121.4	1	NaN	40.368	24	0.74156	181.9	181.9	181.9	1	NaN	67.849	10	0.98961	122.5	122.5	122.5	1	NaN	31.133	22	0.70130	143.6	143.6	143.6	1	NaN	48.821	20	0.97273	173.5	173.5	173.5	1	NaN	56.262	25	0.99610	112.8	112.8	112.8	1	NaN	39.666	26	0.69740	111.7	111.7	111.7	1	NaN	27.106	12	0.74286	155.5	155.5	155.5	1	NaN	31.303	22	0.99091	85.3	85.3	85.3	1	NaN	24.291	16	0.11429	106.2	106.2	106.2	1	NaN	34.145	25	0.67792	126.0	126.0	126.0	1	NaN	42.649	24	0.94416	
AADAT	520039	158.1	158.1	158.1	1	NaN	51.129	37	0.97662	159.1	159.1	159.1	1	NaN	61.546	22	0.98571	152.1	152.1	152.1	1	NaN	39.893	19	0.96364	143.1	143.1	143.1	1	NaN	33.365	21	0.93117	163.6	163.6	163.6	1	NaN	43.938	24	0.99351	152.8	152.8	152.8	1	NaN	41.174	26	0.98961	159.4	159.4	159.4	1	NaN	32.890	21	0.99870	141.1	141.1	141.1	1	NaN	31.444	27	0.98571	161.9	161.9	161.9	1	NaN	34.110	20	0.99221	144.4	144.4	144.4	1	NaN	37.710	26	0.98571	164.8	164.8	164.8	1	NaN	39.837	26	0.99481	145.2	145.2	145.2	1	NaN	48.112	26	0.98961	
AADAT	1110326	106.6	106.6	106.6	1	NaN	31.936	17	0.30260	114.9	114.9	114.9	1	NaN	42.694	19	0.61688	109.9	109.9	109.9	1	NaN	28.972	23	0.35065	110.6	110.6	110.6	1	NaN	38.080	20	0.40260	100.1	100.1	100.1	1	NaN	23.872	18	0.32208	96.7	96.7	96.7	1	NaN	24.183	17	0.32338	102.3	102.3	102.3	1	NaN	22.483	15	0.42468	100.4	100.4	100.4	1	NaN	27.725	26	0.44286	83.5	83.5	83.5	1	NaN	19.282	18	0.07273	100.0	100.0	100.0	1	NaN	28.315	19	0.44416	104.5	104.5	104.5	1	NaN	30.408	24	0.62727	90.2	90.2	90.2	1	NaN	29.797	17	0.22727	
AADAT	4220717	98.5	98.5	98.5	1	NaN	34.291	20	0.17662	87.1	87.1	87.1	1	NaN	33.338	15	0.06883	86.9	86.9	86.9	1	NaN	21.486	21	0.02597	86.7	86.7	86.7	1	NaN	24.513	28	0.04545	85.3	85.3	85.3	1	NaN	23.033	25	0.08571	81.7	81.7	81.7	1	NaN	24.690	18	0.05844	84.6	84.6	84.6	1	NaN	18.586	27	0.07403	84.8	84.8	84.8	1	NaN	19.493	19	0.12208	83.7	83.7	83.7	1	NaN	22.325	28	0.07532	86.0	86.0	86.0	1	NaN	26.880	20	0.12727	80.4	80.4	80.4	1	NaN	24.812	25	0.08442	88.1	88.1	88.1	1	NaN	23.686	24	0.18052	
AADAT	6270181	527.5	527.5	527.5	1	NaN	114.366	24	1.00000	525.5	525.5	525.5	1	NaN	107.539	18	1.00000	641.7	641.7	641.7	1	NaN	128.849	20	1.00000	514.2	514.2	514.2	1	NaN	97.261	18	1.00000	642.8	642.8	642.8	1	NaN	125.448	23	1.00000	636.3	636.3	636.3	1	NaN	135.520	20	1.00000	528.4	528.4	528.4	1	NaN	117.483	18	1.00000	455.8	455.8	455.8	1	NaN	79.370	20	1.00000	619.4	619.4	619.4	1	NaN	117.219	29	1.00000	545.0	545.0	545.0	1	NaN	144.410	22	1.00000	546.7	546.7	546.7	1	NaN	125.195	29	1.00000	454.3	454.3	454.3	1	NaN	82.021	26	1.00000	
AAGAB	5490500	881.4	881.4	881.4	1	NaN	196.465	38	1.00000	877.2	877.2	877.2	1	NaN	242.215	27	1.00000	1046.2	1046.2	1046.2	1	NaN	234.305	21	1.00000	679.1	679.1	679.1	1	NaN	176.865	21	1.00000	896.1	896.1	896.1	1	NaN	215.349	34	1.00000	1106.8	1106.8	1106.8	1	NaN	265.164	37	1.00000	662.6	662.6	662.6	1	NaN	166.932	28	1.00000	708.7	708.7	708.7	1	NaN	184.247	34	1.00000	828.7	828.7	828.7	1	NaN	173.957	34	1.00000	1038.5	1038.5	1038.5	1	NaN	226.756	37	1.00000	1072.1	1072.1	1072.1	1	NaN	208.315	29	1.00000	948.5	948.5	948.5	1	NaN	254.509	35	1.00000	
AAK1	1170332	353.9	353.9	353.9	1	NaN	112.429	28	1.00000	543.5	543.5	543.5	1	NaN	87.742	21	1.00000	426.5	426.5	426.5	1	NaN	112.599	22	1.00000	310.7	310.7	310.7	1	NaN	68.970	31	1.00000	390.6	390.6	390.6	1	NaN	86.499	29	1.00000	428.4	428.4	428.4	1	NaN	75.594	23	1.00000	318.1	318.1	318.1	1	NaN	35.217	17	1.00000	287.6	287.6	287.6	1	NaN	56.327	26	1.00000	421.3	421.3	421.3	1	NaN	118.865	27	1.00000	573.6	573.6	573.6	1	NaN	129.019	24	1.00000	511.8	511.8	511.8	1	NaN	113.801	23	1.00000	470.4	470.4	470.4	1	NaN	92.289	26	1.00000	
AAK1	4390201	103.4	103.4	103.4	1	NaN	33.400	23	0.24286	117.4	117.4	117.4	1	NaN	45.387	18	0.66364	113.2	113.2	113.2	1	NaN	34.099	30	0.43117	101.7	101.7	101.7	1	NaN	30.844	21	0.22078	115.6	115.6	115.6	1	NaN	44.450	24	0.71558	97.6	97.6	97.6	1	NaN	27.295	25	0.34545	115.3	115.3	115.3	1	NaN	36.771	23	0.75455	104.2	104.2	104.2	1	NaN	26.315	16	0.55455	108.1	108.1	108.1	1	NaN	31.942	25	0.64545	96.1	96.1	96.1	1	NaN	24.970	23	0.33896	106.9	106.9	106.9	1	NaN	34.821	21	0.69221	103.9	103.9	103.9	1	NaN	31.780	27	0.58571	
AAK1	6860170	104.9	104.9	104.9	1	NaN	18.706	20	0.27143	98.1	98.1	98.1	1	NaN	27.273	22	0.23896	108.3	108.3	108.3	1	NaN	36.923	16	0.30909	112.4	112.4	112.4	1	NaN	28.519	23	0.44935	101.0	101.0	101.0	1	NaN	38.969	19	0.34545	102.5	102.5	102.5	1	NaN	34.285	23	0.49351	97.8	97.8	97.8	1	NaN	16.920	19	0.31299	98.7	98.7	98.7	1	NaN	25.359	23	0.39870	109.4	109.4	109.4	1	NaN	31.693	21	0.67662	93.7	93.7	93.7	1	NaN	21.222	18	0.28831	98.1	98.1	98.1	1	NaN	25.512	23	0.43896	97.1	97.1	97.1	1	NaN	20.207	18	0.38961	
AAMP	4610048	1023.5	1023.5	1023.5	1	NaN	180.915	20	1.00000	1337.2	1337.2	1337.2	1	NaN	249.304	22	1.00000	1088.8	1088.8	1088.8	1	NaN	241.848	27	1.00000	889.4	889.4	889.4	1	NaN	225.114	25	1.00000	1127.6	1127.6	1127.6	1	NaN	188.202	29	1.00000	1052.1	1052.1	1052.1	1	NaN	186.468	10	1.00000	1004.3	1004.3	1004.3	1	NaN	190.129	42	1.00000	988.0	988.0	988.0	1	NaN	185.482	16	1.00000	1035.0	1035.0	1035.0	1	NaN	228.055	19	1.00000	1049.7	1049.7	1049.7	1	NaN	161.017	23	1.00000	1193.6	1193.6	1193.6	1	NaN	204.898	30	1.00000	1183.6	1183.6	1183.6	1	NaN	191.371	22	1.00000	
AANAT	1070703	110.9	110.9	110.9	1	NaN	35.862	25	0.40519	101.5	101.5	101.5	1	NaN	24.616	31	0.29610	98.6	98.6	98.6	1	NaN	36.871	17	0.16883	97.8	97.8	97.8	1	NaN	27.922	24	0.16494	95.1	95.1	95.1	1	NaN	25.898	21	0.21818	85.0	85.0	85.0	1	NaN	29.507	22	0.11558	98.1	98.1	98.1	1	NaN	25.697	31	0.31948	84.9	84.9	84.9	1	NaN	19.903	18	0.12338	90.9	90.9	90.9	1	NaN	26.344	18	0.19481	87.1	87.1	87.1	1	NaN	20.687	17	0.13896	88.6	88.6	88.6	1	NaN	24.975	24	0.22338	75.8	75.8	75.8	1	NaN	27.903	27	0.02208	
AARS	290603	13792.0	13792.0	13792.0	1	NaN	2924.615	24	1.00000	13280.0	13280.0	13280.0	1	NaN	3397.434	28	1.00000	9796.8	9796.8	9796.8	1	NaN	1342.686	18	1.00000	11473.5	11473.5	11473.5	1	NaN	2270.054	25	1.00000	10220.3	10220.3	10220.3	1	NaN	1912.373	23	1.00000	9746.8	9746.8	9746.8	1	NaN	2469.888	18	1.00000	9233.8	9233.8	9233.8	1	NaN	1903.954	23	1.00000	8549.4	8549.4	8549.4	1	NaN	978.428	21	1.00000	10469.4	10469.4	10469.4	1	NaN	2426.126	15	1.00000	11550.1	11550.1	11550.1	1	NaN	2731.289	15	1.00000	11790.8	11790.8	11790.8	1	NaN	2156.578	27	1.00000	10547.1	10547.1	10547.1	1	NaN	1347.108	17	1.00000	
AARS2	540255	699.9	699.9	699.9	1	NaN	183.817	14	1.00000	922.1	922.1	922.1	1	NaN	229.151	17	1.00000	902.2	902.2	902.2	1	NaN	238.101	19	1.00000	537.8	537.8	537.8	1	NaN	123.149	27	1.00000	889.1	889.1	889.1	1	NaN	133.699	27	1.00000	842.0	842.0	842.0	1	NaN	111.248	26	1.00000	675.0	675.0	675.0	1	NaN	143.749	18	1.00000	585.0	585.0	585.0	1	NaN	104.183	27	1.00000	756.8	756.8	756.8	1	NaN	111.121	26	1.00000	864.9	864.9	864.9	1	NaN	151.641	16	1.00000	868.4	868.4	868.4	1	NaN	148.406	21	1.00000	806.7	806.7	806.7	1	NaN	174.535	25	1.00000	
AARSD1	60154	1014.0	1014.0	1014.0	1	NaN	209.291	30	1.00000	1319.4	1319.4	1319.4	1	NaN	450.573	17	1.00000	1213.5	1213.5	1213.5	1	NaN	232.133	21	1.00000	884.9	884.9	884.9	1	NaN	185.934	17	1.00000	1127.1	1127.1	1127.1	1	NaN	167.713	18	1.00000	1072.8	1072.8	1072.8	1	NaN	127.888	21	1.00000	995.6	995.6	995.6	1	NaN	213.243	27	1.00000	956.5	956.5	956.5	1	NaN	130.241	26	1.00000	977.7	977.7	977.7	1	NaN	222.395	19	1.00000	1230.2	1230.2	1230.2	1	NaN	191.547	11	1.00000	1248.2	1248.2	1248.2	1	NaN	244.813	21	1.00000	1287.4	1287.4	1287.4	1	NaN	233.495	14	1.00000	
AASDH	4150561	448.1	448.1	448.1	1	NaN	108.274	26	1.00000	441.9	441.9	441.9	1	NaN	123.993	24	1.00000	422.8	422.8	422.8	1	NaN	132.629	20	1.00000	387.7	387.7	387.7	1	NaN	170.312	28	1.00000	370.6	370.6	370.6	1	NaN	115.213	32	1.00000	395.6	395.6	395.6	1	NaN	144.959	34	1.00000	329.5	329.5	329.5	1	NaN	81.144	23	1.00000	340.4	340.4	340.4	1	NaN	69.938	28	1.00000	362.4	362.4	362.4	1	NaN	75.024	17	1.00000	460.2	460.2	460.2	1	NaN	123.134	19	1.00000	483.4	483.4	483.4	1	NaN	114.809	29	1.00000	429.3	429.3	429.3	1	NaN	88.806	28	1.00000	
AASDHPPT	6060767	825.9	825.9	825.9	1	NaN	251.629	14	1.00000	796.4	796.4	796.4	1	NaN	115.023	23	1.00000	730.6	730.6	730.6	1	NaN	153.730	17	1.00000	519.3	519.3	519.3	1	NaN	125.413	17	1.00000	788.4	788.4	788.4	1	NaN	89.594	18	1.00000	711.1	711.1	711.1	1	NaN	117.907	21	1.00000	690.4	690.4	690.4	1	NaN	146.366	19	1.00000	530.9	530.9	530.9	1	NaN	101.414	18	1.00000	674.7	674.7	674.7	1	NaN	117.611	18	1.00000	664.7	664.7	664.7	1	NaN	141.006	31	1.00000	638.8	638.8	638.8	1	NaN	138.782	20	1.00000	646.1	646.1	646.1	1	NaN	122.834	17	1.00000	
AASDHPPT	7040717	815.6	815.6	815.6	1	NaN	175.035	18	1.00000	832.6	832.6	832.6	1	NaN	445.811	10	1.00000	983.7	983.7	983.7	1	NaN	205.469	22	1.00000	602.2	602.2	602.2	1	NaN	188.006	24	1.00000	901.7	901.7	901.7	1	NaN	203.331	22	1.00000	886.7	886.7	886.7	1	NaN	246.540	14	1.00000	843.5	843.5	843.5	1	NaN	195.262	23	1.00000	759.8	759.8	759.8	1	NaN	199.981	25	1.00000	766.1	766.1	766.1	1	NaN	177.414	24	1.00000	847.9	847.9	847.9	1	NaN	147.785	24	1.00000	862.2	862.2	862.2	1	NaN	212.971	24	1.00000	859.2	859.2	859.2	1	NaN	133.733	18	1.00000	
AASS	60280	5245.3	5245.3	5245.3	1	NaN	1161.273	24	1.00000	4294.8	4294.8	4294.8	1	NaN	802.818	33	1.00000	3062.3	3062.3	3062.3	1	NaN	420.888	9	1.00000	4354.9	4354.9	4354.9	1	NaN	1095.712	21	1.00000	3634.2	3634.2	3634.2	1	NaN	725.210	19	1.00000	2566.4	2566.4	2566.4	1	NaN	504.614	23	1.00000	3092.2	3092.2	3092.2	1	NaN	594.748	22	1.00000	2747.2	2747.2	2747.2	1	NaN	513.614	27	1.00000	3572.3	3572.3	3572.3	1	NaN	679.454	27	1.00000	3539.4	3539.4	3539.4	1	NaN	766.979	15	1.00000	3619.8	3619.8	3619.8	1	NaN	700.867	18	1.00000	3766.5	3766.5	3766.5	1	NaN	644.831	20	1.00000	
AASS	1500465	2302.3	2302.3	2302.3	1	NaN	529.126	15	1.00000	2239.9	2239.9	2239.9	1	NaN	535.881	24	1.00000	1214.6	1214.6	1214.6	1	NaN	248.678	25	1.00000	1938.4	1938.4	1938.4	1	NaN	467.115	27	1.00000	1514.4	1514.4	1514.4	1	NaN	242.737	19	1.00000	1425.2	1425.2	1425.2	1	NaN	226.303	18	1.00000	1198.4	1198.4	1198.4	1	NaN	167.935	21	1.00000	1228.3	1228.3	1228.3	1	NaN	250.379	13	1.00000	1551.7	1551.7	1551.7	1	NaN	225.882	28	1.00000	1714.8	1714.8	1714.8	1	NaN	383.837	29	1.00000	1915.6	1915.6	1915.6	1	NaN	355.235	22	1.00000	1874.0	1874.0	1874.0	1	NaN	423.974	14	1.00000	
AATF	6020372	1152.1	1152.1	1152.1	1	NaN	286.669	21	1.00000	1463.8	1463.8	1463.8	1	NaN	337.913	28	1.00000	944.1	944.1	944.1	1	NaN	208.318	26	1.00000	900.4	900.4	900.4	1	NaN	175.459	44	1.00000	1095.5	1095.5	1095.5	1	NaN	243.132	27	1.00000	913.6	913.6	913.6	1	NaN	136.439	30	1.00000	1006.7	1006.7	1006.7	1	NaN	190.350	24	1.00000	888.6	888.6	888.6	1	NaN	194.983	18	1.00000	942.6	942.6	942.6	1	NaN	197.647	28	1.00000	1237.0	1237.0	1237.0	1	NaN	196.724	20	1.00000	1249.4	1249.4	1249.4	1	NaN	197.681	30	1.00000	1287.3	1287.3	1287.3	1	NaN	219.562	16	1.00000	
AATK	5550132	163.3	163.3	163.3	1	NaN	25.644	20	0.98961	126.3	126.3	126.3	1	NaN	28.233	16	0.81688	155.1	155.1	155.1	1	NaN	42.796	14	0.96883	164.8	164.8	164.8	1	NaN	36.695	15	0.98701	154.7	154.7	154.7	1	NaN	55.353	23	0.98701	135.1	135.1	135.1	1	NaN	48.744	22	0.97403	118.7	118.7	118.7	1	NaN	30.988	19	0.80909	116.1	116.1	116.1	1	NaN	27.744	15	0.81688	131.1	131.1	131.1	1	NaN	51.778	11	0.94416	143.7	143.7	143.7	1	NaN	26.312	18	0.98442	141.6	141.6	141.6	1	NaN	50.707	14	0.98571	146.8	146.8	146.8	1	NaN	29.440	19	0.99091	
